ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   23,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   24,97.98%,Mark D. Levine,(Democratic),174,AD 23,2025-11-05_01:51:42.65791
ED   24,97.98%,Peter Kefalas,(Republican),15,AD 23,2025-11-05_01:51:42.65791
ED   24,97.98%,Peter Kefalas,(Conservative),8,AD 23,2025-11-05_01:51:42.65791
ED   24,97.98%,Ismael Malave Perez,(The Unity ),2,AD 23,2025-11-05_01:51:42.65791
ED   24,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   25,97.98%,Mark D. Levine,(Democratic),395,AD 23,2025-11-05_01:51:42.65791
ED   25,97.98%,Peter Kefalas,(Republican),101,AD 23,2025-11-05_01:51:42.65791
ED   25,97.98%,Peter Kefalas,(Conservative),13,AD 23,2025-11-05_01:51:42.65791
ED   25,97.98%,Ismael Malave Perez,(The Unity ),7,AD 23,2025-11-05_01:51:42.65791
ED   25,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED   26,97.98%,Mark D. Levine,(Democratic),211,AD 23,2025-11-05_01:51:42.65791
ED   26,97.98%,Peter Kefalas,(Republican),62,AD 23,2025-11-05_01:51:42.65791
ED   26,97.98%,Peter Kefalas,(Conservative),8,AD 23,2025-11-05_01:51:42.65791
ED   26,97.98%,Ismael Malave Perez,(The Unity ),6,AD 23,2025-11-05_01:51:42.65791
ED   26,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED   27,97.98%,Mark D. Levine,(Democratic),510,AD 23,2025-11-05_01:51:42.65791
ED   27,97.98%,Peter Kefalas,(Republican),192,AD 23,2025-11-05_01:51:42.65791
ED   27,97.98%,Peter Kefalas,(Conservative),17,AD 23,2025-11-05_01:51:42.65791
ED   27,97.98%,Ismael Malave Perez,(The Unity ),1,AD 23,2025-11-05_01:51:42.65791
ED   27,97.98%,WRITE-IN,&nbsp,5,AD 23,2025-11-05_01:51:42.65791
ED   28,97.98%,Mark D. Levine,(Democratic),376,AD 23,2025-11-05_01:51:42.65791
ED   28,97.98%,Peter Kefalas,(Republican),97,AD 23,2025-11-05_01:51:42.65791
ED   28,97.98%,Peter Kefalas,(Conservative),7,AD 23,2025-11-05_01:51:42.65791
ED   28,97.98%,Ismael Malave Perez,(The Unity ),8,AD 23,2025-11-05_01:51:42.65791
ED   28,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   29,97.98%,Mark D. Levine,(Democratic),603,AD 23,2025-11-05_01:51:42.65791
ED   29,97.98%,Peter Kefalas,(Republican),196,AD 23,2025-11-05_01:51:42.65791
ED   29,97.98%,Peter Kefalas,(Conservative),27,AD 23,2025-11-05_01:51:42.65791
ED   29,97.98%,Ismael Malave Perez,(The Unity ),0,AD 23,2025-11-05_01:51:42.65791
ED   29,97.98%,WRITE-IN,&nbsp,3,AD 23,2025-11-05_01:51:42.65791
ED   30,97.98%,Mark D. Levine,(Democratic),439,AD 23,2025-11-05_01:51:42.65791
ED   30,97.98%,Peter Kefalas,(Republican),191,AD 23,2025-11-05_01:51:42.65791
ED   30,97.98%,Peter Kefalas,(Conservative),24,AD 23,2025-11-05_01:51:42.65791
ED   30,97.98%,Ismael Malave Perez,(The Unity ),4,AD 23,2025-11-05_01:51:42.65791
ED   30,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
