ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   36,99.00%,WRITE-IN,&nbsp,4,AD 54,2025-11-06_10:54:40.589716
ED   37,99.00%,Duane Frankson,(Democratic),288,AD 54,2025-11-06_10:54:40.589716
ED   37,99.00%,Dagmar Plaza-Gonzalez,(Democratic),274,AD 54,2025-11-06_10:54:40.589716
ED   37,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   38,99.00%,Duane Frankson,(Democratic),494,AD 54,2025-11-06_10:54:40.589716
ED   38,99.00%,Dagmar Plaza-Gonzalez,(Democratic),463,AD 54,2025-11-06_10:54:40.589716
ED   38,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   39,99.00%,Duane Frankson,(Democratic),479,AD 54,2025-11-06_10:54:40.589716
ED   39,99.00%,Dagmar Plaza-Gonzalez,(Democratic),472,AD 54,2025-11-06_10:54:40.589716
ED   39,99.00%,WRITE-IN,&nbsp,4,AD 54,2025-11-06_10:54:40.589716
ED   40,99.00%,Duane Frankson,(Democratic),473,AD 54,2025-11-06_10:54:40.589716
ED   40,99.00%,Dagmar Plaza-Gonzalez,(Democratic),424,AD 54,2025-11-06_10:54:40.589716
ED   40,99.00%,WRITE-IN,&nbsp,6,AD 54,2025-11-06_10:54:40.589716
ED   41,99.00%,Duane Frankson,(Democratic),447,AD 54,2025-11-06_10:54:40.589716
ED   41,99.00%,Dagmar Plaza-Gonzalez,(Democratic),417,AD 54,2025-11-06_10:54:40.589716
ED   41,99.00%,WRITE-IN,&nbsp,4,AD 54,2025-11-06_10:54:40.589716
ED   42,99.00%,Duane Frankson,(Democratic),320,AD 54,2025-11-06_10:54:40.589716
ED   42,99.00%,Dagmar Plaza-Gonzalez,(Democratic),295,AD 54,2025-11-06_10:54:40.589716
ED   42,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   43,99.00%,Duane Frankson,(Democratic),419,AD 54,2025-11-06_10:54:40.589716
ED   43,99.00%,Dagmar Plaza-Gonzalez,(Democratic),416,AD 54,2025-11-06_10:54:40.589716
ED   43,99.00%,WRITE-IN,&nbsp,1,AD 54,2025-11-06_10:54:40.589716
ED   44,99.00%,Duane Frankson,(Democratic),419,AD 54,2025-11-06_10:54:40.589716
ED   44,99.00%,Dagmar Plaza-Gonzalez,(Democratic),411,AD 54,2025-11-06_10:54:40.589716
ED   44,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   45,99.00%,Duane Frankson,(Democratic),395,AD 54,2025-11-06_10:54:40.589716
ED   45,99.00%,Dagmar Plaza-Gonzalez,(Democratic),402,AD 54,2025-11-06_10:54:40.589716
ED   45,99.00%,WRITE-IN,&nbsp,6,AD 54,2025-11-06_10:54:40.589716
ED   46,99.00%,Duane Frankson,(Democratic),317,AD 54,2025-11-06_10:54:40.589716
ED   46,99.00%,Dagmar Plaza-Gonzalez,(Democratic),320,AD 54,2025-11-06_10:54:40.589716
ED   46,99.00%,WRITE-IN,&nbsp,3,AD 54,2025-11-06_10:54:40.589716
ED   47,99.00%,Duane Frankson,(Democratic),389,AD 54,2025-11-06_10:54:40.589716
ED   47,99.00%,Dagmar Plaza-Gonzalez,(Democratic),382,AD 54,2025-11-06_10:54:40.589716
ED   47,99.00%,WRITE-IN,&nbsp,1,AD 54,2025-11-06_10:54:40.589716
ED   48,99.00%,Duane Frankson,(Democratic),327,AD 54,2025-11-06_10:54:40.589716
ED   48,99.00%,Dagmar Plaza-Gonzalez,(Democratic),343,AD 54,2025-11-06_10:54:40.589716
ED   48,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   49,99.00%,Duane Frankson,(Democratic),356,AD 54,2025-11-06_10:54:40.589716
ED   49,99.00%,Dagmar Plaza-Gonzalez,(Democratic),360,AD 54,2025-11-06_10:54:40.589716
ED   49,99.00%,WRITE-IN,&nbsp,8,AD 54,2025-11-06_10:54:40.589716
ED   50,99.00%,Duane Frankson,(Democratic),368,AD 54,2025-11-06_10:54:40.589716
ED   50,99.00%,Dagmar Plaza-Gonzalez,(Democratic),373,AD 54,2025-11-06_10:54:40.589716
ED   50,99.00%,WRITE-IN,&nbsp,7,AD 54,2025-11-06_10:54:40.589716
ED   51,99.00%,Duane Frankson,(Democratic),399,AD 54,2025-11-06_10:54:40.589716
ED   51,99.00%,Dagmar Plaza-Gonzalez,(Democratic),380,AD 54,2025-11-06_10:54:40.589716
ED   51,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   52,99.00%,Duane Frankson,(Democratic),248,AD 54,2025-11-06_10:54:40.589716
ED   52,99.00%,Dagmar Plaza-Gonzalez,(Democratic),257,AD 54,2025-11-06_10:54:40.589716
ED   52,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   53,99.00%,Duane Frankson,(Democratic),298,AD 54,2025-11-06_10:54:40.589716
ED   53,99.00%,Dagmar Plaza-Gonzalez,(Democratic),301,AD 54,2025-11-06_10:54:40.589716
ED   53,99.00%,WRITE-IN,&nbsp,5,AD 54,2025-11-06_10:54:40.589716
ED   54,99.00%,Duane Frankson,(Democratic),330,AD 54,2025-11-06_10:54:40.589716
ED   54,99.00%,Dagmar Plaza-Gonzalez,(Democratic),330,AD 54,2025-11-06_10:54:40.589716
ED   54,99.00%,WRITE-IN,&nbsp,5,AD 54,2025-11-06_10:54:40.589716
ED   55,99.00%,Duane Frankson,(Democratic),278,AD 54,2025-11-06_10:54:40.589716
ED   55,99.00%,Dagmar Plaza-Gonzalez,(Democratic),260,AD 54,2025-11-06_10:54:40.589716
ED   55,99.00%,WRITE-IN,&nbsp,1,AD 54,2025-11-06_10:54:40.589716
ED   56,99.00%,Duane Frankson,(Democratic),355,AD 54,2025-11-06_10:54:40.589716
ED   56,99.00%,Dagmar Plaza-Gonzalez,(Democratic),335,AD 54,2025-11-06_10:54:40.589716
ED   56,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   57,99.00%,Duane Frankson,(Democratic),333,AD 54,2025-11-06_10:54:40.589716
ED   57,99.00%,Dagmar Plaza-Gonzalez,(Democratic),312,AD 54,2025-11-06_10:54:40.589716
ED   57,99.00%,WRITE-IN,&nbsp,1,AD 54,2025-11-06_10:54:40.589716
