ed_clean,YES,NO,reported,ad,ed,percentage,passed
25029,759,1001,99.00%,25,29,43.125,FALSE
25030,591,856,99.00%,25,30,40.843123704215614,FALSE
25031,645,784,99.00%,25,31,45.13645906228131,FALSE
25032,581,652,99.00%,25,32,47.12084347120843,FALSE
25033,621,1236,99.00%,25,33,33.44103392568659,FALSE
25034,666,974,99.00%,25,34,40.609756097560975,FALSE
25035,646,616,99.00%,25,35,51.188589540412046,TRUE
25036,537,779,99.00%,25,36,40.80547112462006,FALSE
25037,536,405,99.00%,25,37,56.96068012752391,TRUE
25038,536,432,99.00%,25,38,55.371900826446286,TRUE
25039,487,440,99.00%,25,39,52.53505933117584,TRUE
25040,724,444,99.00%,25,40,61.986301369863014,TRUE
25041,439,268,99.00%,25,41,62.0933521923621,TRUE
25042,644,350,99.00%,25,42,64.7887323943662,TRUE
25043,610,334,99.00%,25,43,64.61864406779661,TRUE
25044,675,279,99.00%,25,44,70.75471698113208,TRUE
25045,731,558,99.00%,25,45,56.710628394103956,TRUE
25046,463,325,99.00%,25,46,58.75634517766497,TRUE
25047,372,253,99.00%,25,47,59.519999999999996,TRUE
25048,0,0,99.00%,25,48,NA,FALSE
25049,0,0,99.00%,25,49,NA,FALSE
26001,373,334,99.00%,26,1,52.75813295615276,TRUE
26002,204,100,99.00%,26,2,67.10526315789474,TRUE
26003,284,125,99.00%,26,3,69.43765281173594,TRUE
26004,359,403,99.00%,26,4,47.112860892388454,FALSE
26005,20,2,99.00%,26,5,90.9090909090909,TRUE
26006,691,579,99.00%,26,6,54.409448818897644,TRUE
26007,1075,764,99.00%,26,7,58.455682436106585,TRUE
26008,1047,1092,99.00%,26,8,48.94810659186536,FALSE
26009,274,190,99.00%,26,9,59.05172413793104,TRUE
26010,1092,1158,99.00%,26,10,48.53333333333333,FALSE
26011,620,779,99.00%,26,11,44.31736954967834,FALSE
26012,1137,1181,99.00%,26,12,49.050905953408105,FALSE
26013,308,475,99.00%,26,13,39.33588761174968,FALSE
26014,349,289,99.00%,26,14,54.70219435736677,TRUE
26015,434,360,99.00%,26,15,54.65994962216625,TRUE
26016,828,1170,99.00%,26,16,41.44144144144144,FALSE
26017,1070,1299,99.00%,26,17,45.166737019839594,FALSE
26018,662,629,99.00%,26,18,51.27807900852053,TRUE
26019,422,391,99.00%,26,19,51.90651906519065,TRUE
26020,967,1281,99.00%,26,20,43.01601423487544,FALSE
26021,738,1426,99.00%,26,21,34.10351201478743,FALSE
26022,718,1647,99.00%,26,22,30.35940803382664,FALSE
26023,908,1127,99.00%,26,23,44.61916461916462,FALSE
26024,811,1613,99.00%,26,24,33.45709570957096,FALSE
26025,630,839,99.00%,26,25,42.886317222600404,FALSE
26026,541,1218,99.00%,26,26,30.75611142694713,FALSE
26027,146,188,99.00%,26,27,43.712574850299404,FALSE
26028,706,857,99.00%,26,28,45.16954574536148,FALSE
26029,513,632,99.00%,26,29,44.80349344978166,FALSE
26030,5,24,99.00%,26,30,17.24137931034483,FALSE
26031,780,1043,99.00%,26,31,42.78661546900713,FALSE
26032,869,933,99.00%,26,32,48.224195338512764,FALSE
26033,805,1399,99.00%,26,33,36.524500907441016,FALSE
26034,714,1614,99.00%,26,34,30.670103092783506,FALSE
26035,475,923,99.00%,26,35,33.97711015736767,FALSE
26036,702,1323,99.00%,26,36,34.66666666666667,FALSE
26037,531,1095,99.00%,26,37,32.656826568265686,FALSE
26038,900,1541,99.00%,26,38,36.8701351904957,FALSE
26039,461,741,99.00%,26,39,38.35274542429284,FALSE
26040,434,671,99.00%,26,40,39.276018099547514,FALSE
26041,852,1446,99.00%,26,41,37.0757180156658,FALSE
26042,615,1136,99.00%,26,42,35.12278697886922,FALSE
26043,744,1413,99.00%,26,43,34.4923504867872,FALSE
26044,529,1423,99.00%,26,44,27.100409836065577,FALSE
26045,886,1613,99.00%,26,45,35.454181672669066,FALSE
26046,542,1075,99.00%,26,46,33.51886209029066,FALSE
26047,633,954,99.00%,26,47,39.88657844990548,FALSE
26048,605,1188,85.71%,26,48,33.74233128834356,FALSE
26049,528,1058,85.71%,26,49,33.29129886506936,FALSE
26050,556,1803,99.00%,26,50,23.569309029249684,FALSE
26051,328,581,99.00%,26,51,36.08360836083608,FALSE
26052,556,1064,99.00%,26,52,34.32098765432099,FALSE
26053,632,1082,99.00%,26,53,36.87281213535589,FALSE
26054,858,1104,99.00%,26,54,43.730886850152906,FALSE
26055,846,1460,99.00%,26,55,36.68690372940156,FALSE
26056,729,1176,99.00%,26,56,38.267716535433074,FALSE
26057,785,1073,99.00%,26,57,42.2497308934338,FALSE
26058,252,233,99.00%,26,58,51.958762886597945,TRUE
26059,750,1065,99.00%,26,59,41.32231404958678,FALSE
26060,738,716,99.00%,26,60,50.75653370013755,TRUE
26061,863,921,99.00%,26,61,48.374439461883405,FALSE
26062,0,0,99.00%,26,62,NA,FALSE
26063,0,0,99.00%,26,63,NA,FALSE
26064,0,0,99.00%,26,64,NA,FALSE
26065,0,0,99.00%,26,65,NA,FALSE
27001,252,510,99.00%,27,1,33.07086614173229,FALSE
27002,1096,664,99.00%,27,2,62.272727272727266,TRUE
27003,1293,1085,99.00%,27,3,54.373423044575276,TRUE
27004,583,546,57.14%,27,4,51.6386182462356,TRUE
27005,592,578,57.14%,27,5,50.598290598290596,TRUE
27006,238,266,57.14%,27,6,47.22222222222222,FALSE
27007,170,391,99.00%,27,7,30.303030303030305,FALSE
27008,436,228,99.00%,27,8,65.66265060240963,TRUE
27009,547,652,99.00%,27,9,45.62135112593828,FALSE
27010,374,246,99.00%,27,10,60.322580645161295,TRUE
27011,370,184,99.00%,27,11,66.78700361010831,TRUE
27012,892,544,99.00%,27,12,62.116991643454035,TRUE
27013,708,492,99.00%,27,13,59,TRUE
27014,1068,710,99.00%,27,14,60.067491563554555,TRUE
27015,1050,829,99.00%,27,15,55.88078765300691,TRUE
27016,505,360,99.00%,27,16,58.38150289017341,TRUE
27017,632,475,99.00%,27,17,57.091237579042456,TRUE
27018,391,143,99.00%,27,18,73.22097378277154,TRUE
27019,779,652,99.00%,27,19,54.43745632424878,TRUE
27020,496,919,99.00%,27,20,35.053003533568905,FALSE
27021,714,965,99.00%,27,21,42.52531268612269,FALSE
27022,879,918,99.00%,27,22,48.91485809682805,FALSE
27023,575,1268,99.00%,27,23,31.199131850244164,FALSE
27024,468,1156,99.00%,27,24,28.817733990147783,FALSE
27025,495,1865,99.00%,27,25,20.97457627118644,FALSE
27026,244,123,99.00%,27,26,66.4850136239782,TRUE
27027,330,2455,99.00%,27,27,11.8491921005386,FALSE
27028,670,986,99.00%,27,28,40.45893719806764,FALSE
27029,306,1828,99.00%,27,29,14.339268978444236,FALSE
27030,423,734,99.00%,27,30,36.56006914433881,FALSE
27031,40,137,99.00%,27,31,22.598870056497177,FALSE
27032,630,754,99.00%,27,32,45.52023121387283,FALSE
27033,602,749,99.00%,27,33,44.559585492227974,FALSE
27034,662,570,99.00%,27,34,53.73376623376623,TRUE
27035,641,665,99.00%,27,35,49.08116385911179,FALSE
27036,681,880,99.00%,27,36,43.62588084561179,FALSE
27037,627,781,99.00%,27,37,44.53125,FALSE
